query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
750 kg/hr wpc extruder ms body,3,3,capacity,750 kg/hr,body material,ms body,material,ms,capacity,750 kg/hr,type,extruder,material,wpc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine,1,2,brand,aba,type,aba,,,usage,film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 15 kw motor 25 kg,3,4,brand,aba,capacity,25 kg,capacity,25 kg,power,15 kw,power,15 kw,type,"""aba",,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 20 hp motor 100 liter,3,4,brand,aba,brand,"""aba",capacity,100 liter,capacity,100 liter,motor power,20 hp,power,20 hp,,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 220 v,2,3,brand,aba,brand,aba,voltage,220 v,type,blown film,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aba blown film machine 380 v 1 phase,2,4,phase,1 phase,brand,"""aba",voltage,380 v,power_phase,1 phase,,,type,blown film,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,
"aba blown film machine for wire & cable use, 50 ton, 220 v, turbo brand",1,5,brand,turbo,brand,turbo,,,capacity,50 ton,,,type,"""aba blown film",,,usage,wire & cable,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,
aluminium body basket extruder with 50 tpd capacity and 415 v voltage,4,4,capacity,50 tpd,capacity,50 tpd,material,aluminium,material,"""aluminium",type,extruder,type,body basket,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,,,,,
aluminium body co-rotating twin screw extruder with 100 tpd capacity and 220 v voltage,3,4,capacity,100 tpd,capacity,100 tpd,material,aluminium,material,"""aluminium",voltage,220 v,type,co-rotating twin screw extruder,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
aluminium body zinc recovery unit with 100 liter capacity and 440 v voltage,4,6,capacity,100 liter,capacity,100 liter,material,aluminium,material,"""aluminium",type,zinc recovery,material,zinc,voltage,440 v,part,body,,,process,recovery,,,voltage,440 v,,,,,,,,,,,,,,,,
aluminium extrusion plant 220 v,2,3,material,aluminium,machine type,extrusion,voltage,220 v,material,aluminium,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 220 v 3 phase,3,4,material,aluminium,machine type,extrusion,phase,3 phase,material,"""aluminium",voltage,220 v,power,3 phase,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 230 v,2,3,material,aluminium,machine type,extrusion,voltage,230 v,material,aluminium,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 240 v,2,3,material,aluminium,machine type,extrusion,voltage,240 v,material,aluminium,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 440 v,2,3,material,aluminium,machine type,extrusion,voltage,440 v,material,"""aluminium",,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant for pharmaceutical 500 kg,4,4,capacity,500 kg,capacity,500 kg,machine name,extrusion plant,machine type,extrusion,material,aluminium,material,"""aluminium",usage,pharmaceutical,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant for plastic processing,3,4,machine name,extrusion,machine type,extrusion,material,aluminium,material,aluminium,usage,plastic processing,material,plastic,,,usage,processing,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant for recycling,3,3,machine name,extrusion,machine type,extrusion,material,aluminium,material,aluminium,usage,recycling,usage,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aluminium extrusion plant machine specifications - brand: mahindra, capacity: 500 kg/hr, voltage: 400 v, phase: 1 phase, body material: ss 304, automation: semi-automatic",4,8,automation grade,semi-automatic,automation,semi-automatic,brand,"mahindra,",body material,ss 304,capacity,"500 kg/hr,",brand,mahindra,material,aluminium,capacity,500 kg/hr,,,machine type,extrusion,,,material,"""aluminium",,,phase,1 phase,,,voltage,400 v,,,,,,,,
aluminium foam extruder,2,3,material,aluminium,material,aluminium,type,extruder,material,foam,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic aba blown film machine for plastic processing, capacity: 10 tpd, power: 3 kw",2,4,capacity,"10 tpd,",capacity,10 tpd,machine type,automatic,power,3 kw,,,type,"""aba blown film",,,usage,plastic processing,,,,,,,,,,,,,,,,,,,,,,,,
"automatic aluminium oleoresin extraction plant, capacity: 1000 kg/hr, voltage: 240 v, phase: three phase",2,5,capacity,"1000 kg/hr,",capacity,1000 kg/hr,voltage,240,material,"""aluminium",,,phase,three phase,,,usage,oleoresin extraction,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,
automatic basket extruder,2,3,automation grade,automatic,feature,automatic,type,extruder,type,basket,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic blown film extrusion machine for recycling applications, 200 tpd capacity, 220 v voltage rating, single phase power supply, pp body",4,7,capacity,200 tpd,capacity,200 tpd,machine name,film extrusion machine,feature,"""automatic",machine type,automatic,material,pp,phase,single phase,power supply,single phase,,,type,blown film extrusion,,,usage,recycling,,,voltage,220 v,,,,,,,,,,,,
"automatic cable extruder for laboratory, capacity: 500 liter, power: 50 hp",4,4,automation grade,automatic,capacity,500 liter,capacity,"500 liter,",power,50 hp,motor power,50 hp,type,"""cable extruder",usage,"laboratory,",usage,laboratory,,,,,,,,,,,,,,,,,,,,,,,,
automatic centrifuge extractor,2,2,automation grade,automatic,feature,automatic,product,centrifuge extractor,product,centrifuge extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic curcumin extraction plant for wire & cable, capacity: 100 tpd, power: 2 kw",2,5,automation grade,automatic,capacity,100 tpd,capacity,100,power,2 kw,,,product,"""curcumin",,,type,extraction,,,usage,wire & cable,,,,,,,,,,,,,,,,,,,,
"automatic film extrusion machine for agricultural, capacity: 20 kg, power: 3 kw",2,4,automation grade,automatic,capacity,20 kg,capacity,"20 kg,",power,3 kw,,,type,"""film extrusion",,,usage,agricultural,,,,,,,,,,,,,,,,,,,,,,,,
"automatic film extrusion machine for food processing, capacity: 100 liter, power: 5 kw",3,4,automation grade,automatic,capacity,100 liter,capacity,100,power,5 kw,machine name,film extrusion machine,type,"""film extrusion",,,usage,food processing,,,,,,,,,,,,,,,,,,,,,,,,
"automatic film extrusion machine for wire & cable applications, 100 liter capacity, 230 v voltage rating, three phase power supply, titanium body",5,6,automation grade,automatic,capacity,100 liter,capacity,100 liter,material,titanium,machine name,film extrusion machine,power supply,three phase,material,titanium,type,"""film extrusion",phase,three phase,usage,wire & cable,,,voltage,230 v,,,,,,,,,,,,,,,,
automatic foam extruder 380 v,2,3,automation grade,automatic,material,foam,voltage,380 v,type,extruder,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic gold refining machine for agricultural, capacity: 200 kg, power: 3 hp",4,4,automation grade,automatic,capacity,200 kg,model name/number,gold refining,feature,automatic,motor power,3 hp,power,3 hp,usage,"agricultural,",usage,"""gold refining",,,,,,,,,,,,,,,,,,,,,,,,
"automatic hdpe basket extruder, capacity: 200 liter, voltage: 480 v, phase: single phase",4,6,automation grade,automatic,capacity,200 liter,capacity,"200 liter,",material,"""hdpe",material,hdpe,phase,single phase,phase,single phase,product,basket,,,type,extruder,,,voltage,480 v,,,,,,,,,,,,,,,,
"automatic hdpe film extrusion machine, capacity: 100 kg/hr, voltage: 230 v, phase: 3 phase",5,6,capacity,"100 kg/hr,",capacity,100 kg/hr,machine type,automatic,machine type,extrusion,material,hdpe,material,"""hdpe",phase,3 phase,phase,3 phase,usage,film,usage,film,,,voltage,230 v,,,,,,,,,,,,,,,,
automatic hdpe hdpe extruder,3,2,automation grade,automatic,material,hdpe,material,hdpe hdpe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic herbal extraction plant for food processing applications, 150 kg/hr capacity, 230 v voltage rating, single phase power supply, ss 316 body",4,7,automation grade,automatic,capacity,150 kg/hr,capacity,150 kg/hr,material,"""herbal",machine name,herbal extraction plant,material,ss 316,phase,single phase,power supply,single phase,,,type,extraction,,,usage,food processing,,,voltage,230 v,,,,,,,,,,,,
automatic jockey extruder 220 v,4,3,automation grade,automatic,feature,"""automatic",brand,jockey,type,jockey,type,extruder,voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic lab extruder for industrial, capacity: 20 tpd, power: 5 hp",5,5,automation grade,automatic,capacity,20 tpd,capacity,"20 tpd,",feature,"""automatic",motor power,5 hp,power,5 hp,type,extruder,type,extruder,usage,"industrial,",usage,lab,,,,,,,,,,,,,,,,,,,,
automatic ldpe blown film machine,2,3,machine type,automatic,feature,automatic,material,ldpe,material,ldpe,,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic mild steel pp extruder, capacity: 1000 kg/hr, voltage: 480 v, phase: 1 phase",4,6,automation grade,automatic,capacity,1000 kg/hr,capacity,"1000 kg/hr,",material,"""mild steel",material,mild steel,material,pp,phase,1,phase,1 phase,,,type,extruder,,,voltage,480 v,,,,,,,,,,,,,,,,
automatic mother baby extruder 400 v,3,3,automation grade,automatic,type,extruder,type,extruder,usage,"""mother baby",voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic ms curcumin extraction plant, capacity: 200 tpd, voltage: 415 v, phase: three phase",3,6,capacity,"200 tpd,",capacity,200 tpd,material,ms,feature,automatic,phase,three phase,material,ms,,,phase,three phase,,,product,"""curcumin",,,voltage,415 v,,,,,,,,,,,,,,,,
automatic ms lab extruder,4,4,automation grade,automatic,feature,automatic,material,ms,material,ms,type,extruder,type,extruder,usage,lab,usage,lab,,,,,,,,,,,,,,,,,,,,,,,,
automatic multi layer extruder 440 v,3,4,automation grade,automatic,feature,"""automatic",type,extruder,type,multi layer,voltage,440 v,type,extruder,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
automatic oleoresin extraction plant,1,2,usage,oleoresin extraction,feature,automatic,,,usage,oleoresin extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automatic pp extruder,3,3,automation grade,automatic,feature,automatic,material,pp,material,pp,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic pvc cable extruder, capacity: 50 tpd, voltage: 480 v, phase: 1 phase",4,6,automation grade,automatic,capacity,50 tpd,capacity,"50 tpd,",material,"""pvc",material,pvc,phase,1 phase,phase,1,product,cable,,,type,extruder,,,voltage,480 v,,,,,,,,,,,,,,,,
"automatic pvc gold refining machine, capacity: 50 ton, voltage: 415 v, phase: 3 phase",4,5,automation grade,automatic,capacity,50 ton,capacity,"50 ton,",material,"""pvc",phase,3 phase,phase,3 phase,usage,gold refining,usage,gold refining,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,
automatic pvc pipe extruder,3,3,automation grade,automatic,feature,automatic,material,pvc,product,pvc pipe,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic sheet extruder for recycling applications, 500 kg/hr capacity, 230 v voltage rating, three phase power supply, pvc body",4,6,automation grade,automatic,capacity,500 kg/hr,capacity,500 kg/hr,material,pvc,material,pvc,power supply,three phase,phase,three phase,type,"""sheet extruder",,,usage,recycling,,,voltage,230 v,,,,,,,,,,,,,,,,
automatic ss 304 plastic extruder,3,4,automation grade,automatic,feature,"""automatic",material grade,ss 304,material,ss 304,type,extruder,material,plastic,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"automatic ss 304 silver refining plant, capacity: 200 liter, voltage: 230 v, phase: 3 phase",4,6,automation grade,automatic,capacity,200 liter,phase,3 phase,material,"""ss 304",usage,silver refining,phase,3 phase,voltage,230,type,refining plant,,,usage,silver,,,voltage,230 v,,,,,,,,,,,,,,,,
automatic ss 316 curcumin extraction plant,2,4,material grade,ss 316,feature,"""automatic",usage,curcumin extraction,material,ss 316,,,product,curcumin,,,type,extraction,,,,,,,,,,,,,,,,,,,,,,,,
automatic ss aluminium extrusion plant,1,4,automation grade,automatic,feature,automatic,,,machine type,extrusion,,,material,ss,,,material,aluminium,,,,,,,,,,,,,,,,,,,,,,,,
"automatic stainless steel plastic recycling extruder, capacity: 500 liter, voltage: 220 v, phase: 1 phase",5,7,automation grade,automatic,capacity,500 liter,capacity,"500 liter,",material,"""stainless steel",material,stainless steel,material,plastic,type,"extruder,",phase,1 phase,usage,plastic recycling,type,extruder,,,usage,recycling,,,voltage,220 v,,,,,,,,,,,,
"automatic stainless steel tube extrusion machine, capacity: 5 ton, voltage: 220 v, phase: single phase",3,6,automation grade,automatic,capacity,5 ton,capacity,"5 ton,",machine type,extrusion,material,stainless steel,material,"""stainless steel",,,phase,single phase,,,product,tube,,,voltage,220 v,,,,,,,,,,,,,,,,
"automatic titanium solid phase extraction system, capacity: 100 ton, voltage: 220 v, phase: 3 phase",4,5,3 phase,phase,capacity,100 ton,automation grade,automatic,material,"""titanium",capacity,"100 ton,",phase,3 phase,material,titanium,type,solid phase extraction system,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,
automatic tube extrusion machine 240 v,2,4,automation grade,automatic,feature,automatic,voltage,240 v,machine type,extrusion,,,product,tube,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
automatic wire extruder,2,3,automation grade,automatic,feature,automatic,type,extruder,material,wire,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic wpc extruder for agricultural, capacity: 20 kg, power: 15 hp",6,5,automation grade,automatic,capacity,20 kg,capacity,"20 kg,",feature,"""automatic",material,wpc,material,wpc,motor power,15 hp,power,15 hp,type,extruder,type,extruder,usage,"agricultural,",,,,,,,,,,,,,,,,,,
"automatic wpc extruder for packaging, capacity: 1 tpd, power: 1 kw",4,6,automation grade,automatic,capacity,1 tpd,capacity,"1 tpd,",feature,"""automatic",material,wpc,material,wpc,type,extruder,power,1 kw,,,type,extruder,,,usage,packaging,,,,,,,,,,,,,,,,
"automatic xlpe cable extruder for wire & cable, capacity: 10 kg/hr, power: 25 hp",4,5,automation grade,automatic,capacity,10 kg/hr,capacity,"10 kg/hr,",material,"""xlpe cable",material,xlpe,power,25 hp,motor power,25 hp,type,extruder,,,usage,wire & cable,,,,,,,,,,,,,,,,,,,,
automatic zinc recovery unit 400 v,3,3,automation grade,automatic,material,"""zinc",usage,zinc recovery,type,recovery unit,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic zinc recovery unit for plastic processing, capacity: 10 kg, power: 3 hp",2,4,automation grade,automatic,capacity,10 kg,capacity,"10 kg,",power,3 hp,,,product,"""zinc recovery unit",,,usage,plastic processing,,,,,,,,,,,,,,,,,,,,,,,,
basket extruder 380 v 50/60 hz,3,3,frequency,50/60 hz,frequency,50/60 hz,type,basket extruder,type,"""basket extruder",voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basket extruder for pharmaceutical,1,3,usage,pharmaceutical,type,basket,,,type,extruder,,,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"basket extruder for wire & cable use, 25 kg, 415 v, popular brand",2,5,brand,popular,brand,popular,capacity,"25 kg,",capacity,25 kg,,,type,"""basket extruder",,,usage,wire & cable,,,voltage,415 v,,,,,,,,,,,,,,,,,,,,
basket extruder parallel design 5 kg/hr,2,4,capacity,5 kg/hr,capacity,5 kg/hr,type,extruder,design,parallel design,,,type,"""basket",,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"bitumen extractor - parallel design, 5 tpd output, 240 v, single phase, ss construction, mahindra brand, automatic operation",3,9,automation grade,automatic,brand,mahindra,brand,mahindra,capacity,5 tpd,machine type,bitumen extractor,design,parallel design,,,material,"""bitumen",,,material,ss,,,operation,automatic operation,,,phase,single phase,,,product,extractor,,,voltage,240 v,,,,
bitumen extractor 230 v 60 hz,3,4,frequency,60 hz,frequency,60 hz,machine type,bitumen extractor,material,"""bitumen",voltage,230 v,product,extractor,,,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,
"bitumen extractor for food processing use, 1000 liter, 480 v, gold star brand",3,5,brand,gold star,brand,gold star,machine type,bitumen extractor,capacity,1000 liter,usage,food processing,product,"""bitumen extractor",,,usage,food processing,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,
"bitumen extractor machine specifications - brand: eureka, capacity: 10 kg/hr, voltage: 415 v, phase: 3 phase, body material: cast iron, automation: semi-automatic",3,7,brand,"eureka,",automation,semi-automatic,capacity,"10 kg/hr,",body material,cast iron,machine type,bitumen extractor,brand,"""eureka",,,capacity,10 kg/hr,,,phase,3 phase,,,type,extractor,,,voltage,415 v,,,,,,,,,,,,
"bitumen extractor machine specifications - brand: eureka, capacity: 10 ton, voltage: 440 v, phase: 3 phase, body material: cast iron, automation: automatic",4,7,automation grade,automatic,automation,automatic,brand,"eureka,",body material,cast iron,capacity,"10 ton,",brand,"""eureka",machine type,bitumen extractor,capacity,10 ton,,,phase,3 phase,,,type,extractor,,,voltage,440 v,,,,,,,,,,,,
"bitumen extractor machine specifications - brand: prism, capacity: 5 kg/hr, voltage: 415 v, phase: 1 phase, body material: mild steel, automation: fully automatic",3,7,automation grade,automatic,automation,fully automatic,capacity,"5 kg/hr,",body material,mild steel,machine type,bitumen extractor,brand,"""prism",,,capacity,5 kg/hr,,,phase,1 phase,,,type,extractor,,,voltage,415 v,,,,,,,,,,,,
bitumen extractor with 10 hp power 440 v,3,4,machine type,bitumen extractor,material,"""bitumen",motor power,10 hp,power,10 hp,voltage,440 v,product,extractor,,,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,
bitumen extractor with 7.5 hp power 400 v,3,4,machine type,bitumen extractor,material,"""bitumen",motor power,7.5 hp,power,7.5 hp,voltage,400 v,product,extractor,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,
"blown film extrusion machine - parallel design, 1000 kg/hr output, 230 v, single phase, aluminium construction, turbo brand, manual operation",4,8,brand,turbo,brand,turbo,capacity,1000 kg/hr,capacity,1000 kg/hr,machine type,manual,machine type,extrusion,material,aluminium,material,aluminium,,,operation_mode,manual,,,power_supply,single phase,,,usage,"""film",,,voltage,230 v,,,,,,,,
cable extruder,0,2,,,type,extruder,,,usage,cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder,0,2,,,type,extruder,,,usage,cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder,0,2,,,type,extruder,,,usage,cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder,0,2,,,type,extruder,,,usage,cable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cable extruder - labh group make, 20 tpd, ss 304, single phase",4,6,brand,labh,brand,labh group,capacity,20,capacity,20 tpd,phase,single phase,material,ss 304,type,extruder,power,single phase,,,product,"""cable",,,type,extruder,,,,,,,,,,,,,,,,
"cable extruder - swaraj make, 100 kg/hr, ms, single phase",4,6,brand,swaraj,brand,swaraj,capacity,"100 kg/hr,",capacity,100 kg/hr,phase,single phase,material,ms,type,extruder,power,single phase,,,product,"""cable",,,type,extruder,,,,,,,,,,,,,,,,
cable extruder 230 v 50/60 hz,3,3,frequency,50/60 hz,frequency,50/60 hz,type,extruder,product,"""cable",voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 380 v 50/60 hz,3,4,frequency,50/60 hz,frequency,50/60 hz,type,extruder,product,"""cable",voltage,380 v,type,extruder,,,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 440 v,2,2,type,extruder,product,cable,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 480 v 50 hz,3,4,frequency,50 hz,frequency,50 hz,type,extruder,product,"""cable",voltage,480 v,type,extruder,,,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 7.5 hp motor 20 tpd,3,4,capacity,20 tpd,capacity,20 tpd,power,7.5 hp,power,7.5 hp,usage,cable extruder,product,"""cable",,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"cable extruder for food processing use, 1 tpd, 415 v, teknik brand",3,6,brand,teknik,brand,teknik,capacity,1,capacity,1 tpd,usage,food processing,product,"""cable",,,type,extruder,,,usage,food processing,,,voltage,415 v,,,,,,,,,,,,,,,,
cable extruder for laboratory 200 liter,3,4,capacity,200 liter,capacity,200 liter,type,cable extruder,type,extruder,usage,laboratory,usage,"""cable",,,usage,laboratory,,,,,,,,,,,,,,,,,,,,,,,,
