query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
aluminium body zinc recovery unit with 100 liter capacity and 440 v voltage,4,3,capacity,100 liter,capacity,100 litre,material,aluminium,material,aluminium,type,zinc recovery,voltage,"""440 v",voltage,440 v,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 220 v,2,2,material,aluminium,usage/application,"""aluminium extrusion",voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 220 v 3 phase,3,3,material,aluminium,phase,three phase,phase,3 phase,usage/application,"""aluminium extrusion",voltage,220 v,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 230 v,2,2,material,aluminium,usage/application,"""aluminium extrusion",voltage,230 v,voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 240 v,2,2,material,aluminium,usage/application,aluminium extrusion,voltage,240 v,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant 440 v,2,2,material,aluminium,usage/application,aluminium extrusion,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant for pharmaceutical 500 kg,4,2,capacity,500 kg,capacity,500 kg,machine name,extrusion plant,usage/application,"""aluminium extrusion",material,aluminium,,,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant for plastic processing,3,2,machine name,extrusion,material to be extruded,plastic,material,aluminium,usage/application,"""aluminium extrusion",usage,plastic processing,,,,,,,,,,,,,,,,,,,,,,,,,,
aluminium extrusion plant for recycling,3,0,machine name,extrusion,,,material,aluminium,,,usage,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,
"aluminium extrusion plant machine specifications - brand: mahindra, capacity: 500 kg/hr, voltage: 400 v, phase: 1 phase, body material: ss 304, automation: semi-automatic",4,5,automation grade,semi-automatic,automation grade,semi-automatic,brand,"mahindra,",material grade,ss 304,capacity,"500 kg/hr,",phase,1 phase,material,aluminium,production capacity,"""500 kg/hr",,,voltage,400 v,,,,,,,,,,,,,,,,
aluminium foam extruder,2,0,material,aluminium,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic aba blown film machine for plastic processing, capacity: 10 tpd, power: 3 kw",2,6,capacity,"10 tpd,",automation grade,"""automatic",machine type,automatic,capacity,10 tpd,,,material to be extruded,plastic,,,model name/number,aba,,,power,3 kw,,,type,3 layer blown film machine,,,,,,,,,,,,
"automatic aluminium oleoresin extraction plant, capacity: 1000 kg/hr, voltage: 240 v, phase: three phase",2,5,capacity,"1000 kg/hr,",automation grade,"""automatic",voltage,240,material to be extruded,aluminium,,,phase,three phase,,,production capacity,1000 kg/hr,,,voltage,240 v,,,,,,,,,,,,,,,,
automatic basket extruder,2,0,automation grade,automatic,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic blown film extrusion machine for recycling applications, 200 tpd capacity, 220 v voltage rating, single phase power supply, pp body",4,5,capacity,200 tpd,automation grade,"""automatic",machine name,film extrusion machine,body material,pp,machine type,automatic,capacity,200 tpd,phase,single phase,phase,single phase,,,voltage,220 v,,,,,,,,,,,,,,,,
"automatic cable extruder for laboratory, capacity: 500 liter, power: 50 hp",4,3,automation grade,automatic,automation grade,"""automatic",capacity,"500 liter,",capacity(litre),500 liter,motor power,50 hp,motor power,50 hp,usage,"laboratory,",,,,,,,,,,,,,,,,,,,,,,
automatic centrifuge extractor,2,2,automation grade,automatic,automation grade,automatic,product,centrifuge extractor,machine type,automatic,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic curcumin extraction plant for wire & cable, capacity: 100 tpd, power: 2 kw",2,4,automation grade,automatic,automation grade,"""automatic",capacity,100,capacity,100 tpd,,,power,2 kw,,,usage/application,wire & cable,,,,,,,,,,,,,,,,,,,,
"automatic film extrusion machine for agricultural, capacity: 20 kg, power: 3 kw",2,3,automation grade,automatic,automation grade,"""automatic",capacity,"20 kg,",capacity(kg),20 kg,,,power,3 kw,,,,,,,,,,,,,,,,,,,,,,,,
"automatic film extrusion machine for food processing, capacity: 100 liter, power: 5 kw",3,3,automation grade,automatic,automation grade,"""automatic",capacity,100,capacity(litre),100 liter,machine name,film extrusion machine,power,5 kw,,,,,,,,,,,,,,,,,,,,,,,,
"automatic film extrusion machine for wire & cable applications, 100 liter capacity, 230 v voltage rating, three phase power supply, titanium body",5,6,automation grade,automatic,automation grade,"""automatic",capacity,100 liter,body material,titanium,machine name,film extrusion machine,capacity(litre),100 liter,material,titanium,phase,three phase,phase,three phase,usage/application,wire & cable,,,voltage,230 v,,,,,,,,,,,,
automatic foam extruder 380 v,2,2,automation grade,automatic,automation grade,automatic,voltage,380 v,voltage,"""380 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic gold refining machine for agricultural, capacity: 200 kg, power: 3 hp",4,3,automation grade,automatic,automation grade,"""automatic",model name/number,gold refining,capacity(kg),200 kg,motor power,3 hp,power,3 hp,usage,"agricultural,",,,,,,,,,,,,,,,,,,,,,,
"automatic hdpe basket extruder, capacity: 200 liter, voltage: 480 v, phase: single phase",4,5,automation grade,automatic,automation grade,"""automatic",capacity,"200 liter,",capacity(litre),200 liter,material,hdpe,material to be extruded,hdpe,phase,single phase,phase,single phase,,,voltage,480 v,,,,,,,,,,,,,,,,
"automatic hdpe film extrusion machine, capacity: 100 kg/hr, voltage: 230 v, phase: 3 phase",5,5,capacity,"100 kg/hr,",automation grade,"""automatic",machine type,automatic,material to be extruded,hdpe,material,hdpe,phase,3 phase,phase,3 phase,production capacity,100 kg/hr,usage,film,voltage,230 v,,,,,,,,,,,,,,,,
automatic hdpe hdpe extruder,3,0,automation grade,automatic,,,material,hdpe hdpe,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic herbal extraction plant for food processing applications, 150 kg/hr capacity, 230 v voltage rating, single phase power supply, ss 316 body",4,6,automation grade,automatic,automation grade,"""automatic",capacity,150 kg/hr,body material,ss 316,machine name,herbal extraction plant,phase,single phase,phase,single phase,production capacity,150 kg/hr,,,usage/application,herbal extraction,,,voltage,230 v,,,,,,,,,,,,
automatic jockey extruder 220 v,4,0,automation grade,automatic,,,brand,jockey,,,type,extruder,,,voltage,220 v,,,,,,,,,,,,,,,,,,,,,,
"automatic lab extruder for industrial, capacity: 20 tpd, power: 5 hp",5,4,automation grade,automatic,automation grade,"""automatic",capacity,"20 tpd,",capacity,20 tpd,motor power,5 hp,motor power,5 hp,type,extruder,usage/application,industrial,usage,"industrial,",,,,,,,,,,,,,,,,,,
automatic ldpe blown film machine,2,3,machine type,automatic,automation grade,"""automatic",material,ldpe,machine type,blown film extrusion machine,,,plastic processed,ldpe,,,,,,,,,,,,,,,,,,,,,,,,
"automatic mild steel pp extruder, capacity: 1000 kg/hr, voltage: 480 v, phase: 1 phase",4,6,automation grade,automatic,automation grade,"""automatic",capacity,"1000 kg/hr,",body material,mild steel,material,mild steel,material to be extruded,pp,phase,1,phase,1 phase,,,production capacity,1000 kg/hr,,,voltage,480 v,,,,,,,,,,,,
automatic mother baby extruder 400 v,3,2,automation grade,automatic,automation grade,"""automatic",type,extruder,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic ms curcumin extraction plant, capacity: 200 tpd, voltage: 415 v, phase: three phase",3,5,capacity,"200 tpd,",automation grade,"""automatic",material,ms,body material,ms,phase,three phase,capacity,200,,,phase,three phase,,,voltage,415 v,,,,,,,,,,,,,,,,
automatic ms lab extruder,4,2,automation grade,automatic,automation grade,automatic,material,ms,body material,ms,type,extruder,,,usage,lab,,,,,,,,,,,,,,,,,,,,,,
automatic multi layer extruder 440 v,3,2,automation grade,automatic,automation grade,"""automatic",type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
automatic oleoresin extraction plant,1,2,usage,oleoresin extraction,automation grade,automatic,,,usage/application,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automatic pp extruder,3,2,automation grade,automatic,automation grade,"""automatic",material,pp,material to be extruded,pp,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic pvc cable extruder, capacity: 50 tpd, voltage: 480 v, phase: 1 phase",4,5,automation grade,automatic,automation grade,"""automatic",capacity,"50 tpd,",capacity,50 tpd,material,pvc,phase,1 phase,phase,1,plastic processed,pvc,,,voltage,480 v,,,,,,,,,,,,,,,,
"automatic pvc gold refining machine, capacity: 50 ton, voltage: 415 v, phase: 3 phase",4,5,automation grade,automatic,automation grade,"""automatic",capacity,"50 ton,",capacity,50 ton,phase,3 phase,phase,three phase,usage,gold refining,plastic processed,pvc,,,voltage,415 v,,,,,,,,,,,,,,,,
automatic pvc pipe extruder,3,3,automation grade,automatic,automation grade,"""automatic",material,pvc,plastic processed,pvc,type,extruder,type,pipe extruder,,,,,,,,,,,,,,,,,,,,,,,,
"automatic sheet extruder for recycling applications, 500 kg/hr capacity, 230 v voltage rating, three phase power supply, pvc body",4,5,automation grade,automatic,automation grade,"""automatic",capacity,500 kg/hr,body material,pvc,material,pvc,phase,three phase,phase,three phase,production capacity,500 kg/hr,,,voltage,230 v,,,,,,,,,,,,,,,,
automatic ss 304 plastic extruder,3,3,automation grade,automatic,automation grade,"""automatic",material grade,ss 304,body material,ss,type,extruder,material to be extruded,plastic,,,,,,,,,,,,,,,,,,,,,,,,
"automatic ss 304 silver refining plant, capacity: 200 liter, voltage: 230 v, phase: 3 phase",4,4,automation grade,automatic,automation grade,"""automatic",phase,3 phase,body material,ss,usage,silver refining,phase,3 phase,voltage,230,voltage,230 v,,,,,,,,,,,,,,,,,,,,
automatic ss 316 curcumin extraction plant,2,2,material grade,ss 316,automation grade,"""automatic",usage,curcumin extraction,body material,ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automatic ss aluminium extrusion plant,1,3,automation grade,automatic,automation grade,"""automatic",,,body material,ss,,,usage/application,aluminium extrusion,,,,,,,,,,,,,,,,,,,,,,,,
"automatic stainless steel plastic recycling extruder, capacity: 500 liter, voltage: 220 v, phase: 1 phase",5,5,automation grade,automatic,automation grade,"""automatic",capacity,"500 liter,",body material,stainless steel,material,stainless steel,material to be extruded,plastic,type,"extruder,",phase,1 phase,usage,plastic recycling,voltage,220 v,,,,,,,,,,,,,,,,
"automatic stainless steel tube extrusion machine, capacity: 5 ton, voltage: 220 v, phase: single phase",3,5,automation grade,automatic,automation grade,"""automatic",capacity,"5 ton,",body material,stainless steel,material,stainless steel,phase,single phase,,,voltage,220 v,,,weight,5 ton,,,,,,,,,,,,,,,,
"automatic titanium solid phase extraction system, capacity: 100 ton, voltage: 220 v, phase: 3 phase",4,5,3 phase,phase,automation grade,"""automatic",automation grade,automatic,body material,pp,capacity,"100 ton,",capacity,100 tpd,material,titanium,phase,3 phase,,,voltage,220 v,,,,,,,,,,,,,,,,
automatic tube extrusion machine 240 v,2,3,automation grade,automatic,automation grade,"""automatic",voltage,240 v,machine type,tube extrusion machine,,,voltage,240 v,,,,,,,,,,,,,,,,,,,,,,,,
automatic wire extruder,2,3,automation grade,automatic,automation grade,automatic,type,extruder,material to be extruded,wire,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
"automatic wpc extruder for agricultural, capacity: 20 kg, power: 15 hp",6,3,automation grade,automatic,automation grade,"""automatic",capacity,"20 kg,",capacity(kg),20 kg,material,wpc,motor power,15 hp,motor power,15 hp,,,type,extruder,,,usage,"agricultural,",,,,,,,,,,,,,,
"automatic wpc extruder for packaging, capacity: 1 tpd, power: 1 kw",4,3,automation grade,automatic,automation grade,"""automatic",capacity,"1 tpd,",capacity,1 tpd,material,wpc,power,1 kw,type,extruder,,,,,,,,,,,,,,,,,,,,,,
"automatic xlpe cable extruder for wire & cable, capacity: 10 kg/hr, power: 25 hp",4,4,automation grade,automatic,automation grade,"""automatic",capacity,"10 kg/hr,",motor power,25 hp,material,xlpe,production capacity,10 kg/hr,motor power,25 hp,usage/application,wire & cable,,,,,,,,,,,,,,,,,,,,
automatic zinc recovery unit 400 v,3,0,automation grade,automatic,,,usage,zinc recovery,,,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"automatic zinc recovery unit for plastic processing, capacity: 10 kg, power: 3 hp",2,3,automation grade,automatic,automation grade,"""automatic",capacity,"10 kg,",capacity(kg),10 kg,,,motor power,3 hp,,,,,,,,,,,,,,,,,,,,,,,,
basket extruder 380 v 50/60 hz,3,2,frequency,50/60 hz,frequency,50/60 hz,type,basket extruder,voltage,380 v,voltage,380 v,,,,,,,,,,,,,,,,,,,,,,,,,,
basket extruder for pharmaceutical,1,0,usage,pharmaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"basket extruder for wire & cable use, 25 kg, 415 v, popular brand",2,3,brand,popular,usage/application,wire & cable,capacity,"25 kg,",voltage,415 v,,,weight,"""25 kg",,,,,,,,,,,,,,,,,,,,,,,,
basket extruder parallel design 5 kg/hr,2,2,capacity,5 kg/hr,production capacity,"""5 kg/hr",type,extruder,screw design,parallel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bitumen extractor - parallel design, 5 tpd output, 240 v, single phase, ss construction, mahindra brand, automatic operation",3,5,automation grade,automatic,automation grade,automatic,brand,mahindra,body material,ss,machine type,bitumen extractor,operation type,automatic,,,phase,single phase,,,voltage,"""240 v",,,,,,,,,,,,,,,,
bitumen extractor 230 v 60 hz,3,2,frequency,60 hz,frequency,60 hz,machine type,bitumen extractor,voltage,"""230 v",voltage,230 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"bitumen extractor for food processing use, 1000 liter, 480 v, gold star brand",3,5,brand,gold star,application,food process industry,machine type,bitumen extractor,brand,gold star,usage,food processing,oil tank capacity,"""1000 liter",,,product type,bitumen extractor,,,voltage (v),480 v,,,,,,,,,,,,,,,,
"bitumen extractor machine specifications - brand: eureka, capacity: 10 kg/hr, voltage: 415 v, phase: 3 phase, body material: cast iron, automation: semi-automatic",3,5,brand,"eureka,",automation grade,semi-automatic,capacity,"10 kg/hr,",body material,cast iron,machine type,bitumen extractor,phase,3 phase,,,production capacity,"""10 kg/hr",,,voltage,415 v,,,,,,,,,,,,,,,,
"bitumen extractor machine specifications - brand: eureka, capacity: 10 ton, voltage: 440 v, phase: 3 phase, body material: cast iron, automation: automatic",4,4,automation grade,automatic,automation grade,automatic,brand,"eureka,",body material,cast iron,capacity,"10 ton,",phase,3 phase,machine type,bitumen extractor,voltage,"""440 v",,,,,,,,,,,,,,,,,,,,
"bitumen extractor machine specifications - brand: prism, capacity: 5 kg/hr, voltage: 415 v, phase: 1 phase, body material: mild steel, automation: fully automatic",3,5,automation grade,automatic,automation grade,fully automatic,capacity,"5 kg/hr,",body material,mild steel,machine type,bitumen extractor,phase,1 phase,,,production capacity,"""5 kg/hr",,,voltage,415 v,,,,,,,,,,,,,,,,
bitumen extractor with 10 hp power 440 v,3,2,machine type,bitumen extractor,motor power,"""10 hp",motor power,10 hp,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,,,,,
bitumen extractor with 7.5 hp power 400 v,3,2,machine type,bitumen extractor,motor power,"""7.5 hp",motor power,7.5 hp,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,,,,,,,,,,,,,
"blown film extrusion machine - parallel design, 1000 kg/hr output, 230 v, single phase, aluminium construction, turbo brand, manual operation",4,7,brand,turbo,automation grade,manual,capacity,1000 kg/hr,brand,turbo,machine type,manual,design,parallel,material,aluminium,material,aluminium,,,phase,single phase,,,production capacity,1000 kg/hr,,,voltage,"""230 v",,,,,,,,
cable extruder,0,1,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder,0,1,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder,0,1,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder,0,1,,,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"cable extruder - labh group make, 20 tpd, ss 304, single phase",4,4,brand,labh,i deal in,new,capacity,20,material,"""ss 304",phase,single phase,phase,single phase,type,extruder,type,cable extruder,,,,,,,,,,,,,,,,,,,,
"cable extruder - swaraj make, 100 kg/hr, ms, single phase",4,4,brand,swaraj,body material,"""ms",capacity,"100 kg/hr,",brand/make,swaraj make,phase,single phase,phase,single phase,type,extruder,production capacity,100 kg/hr,,,,,,,,,,,,,,,,,,,,
cable extruder 230 v 50/60 hz,3,3,frequency,50/60 hz,frequency,50/60 hz,type,extruder,type,cable extruder,voltage,230 v,voltage,"""230 v",,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 380 v 50/60 hz,3,3,frequency,50/60 hz,frequency,50/60 hz,type,extruder,type,cable extruder,voltage,380 v,voltage,"""380 v",,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 440 v,2,2,type,extruder,type,cable extruder,voltage,440 v,voltage,"""440 v",,,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 480 v 50 hz,3,2,frequency,50 hz,frequency,50 hz,type,extruder,voltage,480 v,voltage,480 v,,,,,,,,,,,,,,,,,,,,,,,,,,
cable extruder 7.5 hp motor 20 tpd,3,3,capacity,20 tpd,capacity,20 tpd,power,7.5 hp,motor power,"""7.5 hp",usage,cable extruder,type,cable extruder,,,,,,,,,,,,,,,,,,,,,,,,
"cable extruder for food processing use, 1 tpd, 415 v, teknik brand",3,5,brand,teknik,brand,teknik,capacity,1,capacity,1 tpd,usage,food processing,type,"""cable extruder",,,usage/application,for food processing,,,voltage (v),415 v,,,,,,,,,,,,,,,,
cable extruder for laboratory 200 liter,3,3,capacity,200 liter,capacity(litre),200 liter,type,cable extruder,industry type,laboratory,usage,laboratory,type,"""cable extruder",,,,,,,,,,,,,,,,,,,,,,,,
cable extruder for pharmaceutical 50 kg,2,3,capacity,50 kg,capacity(kg),"""50 kg",usage,pharmaceutical,type,cable extruder,,,usage/application,industrial,,,,,,,,,,,,,,,,,,,,,,,,
"cable extruder for research use, 100 liter, 230 v, popular brand",3,4,brand,popular,capacity(litre),100 liter,capacity,"100 liter,",type,cable extruder,usage,research,usage/application,industrial,,,voltage,"""230 v",,,,,,,,,,,,,,,,,,,,
cable extruder machine 500 ton output 400 v three phase pp,4,3,capacity,500 ton,material to be extruded,pp,material,pp,phase,three phase,phase,three phase,voltage,"""400 v",voltage,400 v,,,,,,,,,,,,,,,,,,,,,,
cable extruder single screw design 25 kg,1,2,capacity,25 kg,screw design,"""single screw",,,weight,25 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cast iron aluminium extrusion plant,1,2,material,cast iron aluminium,body material,cast iron,,,usage/application,aluminium extrusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cast iron body curcumin extraction plant 100 tpd,2,2,capacity,100 tpd,body material,"""cast iron",material,cast iron,capacity,100 tpd,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cast iron body hydro extractor 100 ton,3,2,capacity,100 ton,body material,"""cast iron",material,cast iron,capacity,100 ton,product,hydro extractor,,,,,,,,,,,,,,,,,,,,,,,,,,
cast iron body pet extruder with 750 kg/hr capacity and 415 v voltage,4,4,capacity,750 kg/hr,body material,"""cast iron",material,cast iron,material to be extruded,pet,type,extruder,production capacity,750 kg/hr,voltage,415 v,voltage,415 v,,,,,,,,,,,,,,,,,,,,
cast iron body polymer extruder with 100 kg/hr capacity and 440 v voltage,4,3,capacity,100 kg/hr,body material,"""cast iron",material,cast iron,production capacity,100 kg/hr,type,extruder,voltage,440 v,voltage,440 v,,,,,,,,,,,,,,,,,,,,,,
cast iron body pvc extruder 250 kg/hr,3,3,capacity,250 kg/hr,body material,"""cast iron",material,cast iron,plastic processed,pvc,type,extruder,production capacity,250 kg/hr,,,,,,,,,,,,,,,,,,,,,,,,
