Key,Value
Motor Type,Synchronous
Starter Type,Automatic
Power,Light
Ambient Temperature,-15 to 40 degree C
Power,3HP-5HP
Power,5HP-10HP
Brand,"NGEF,KIRLOSKER ,CROPTON ,CG"
Speed,1200 to 1600 r/min
Current,32 A
Brand,Kamei
Model Name/Number,NEMA 23 10.1 kg-cm Single Shaft 1.8 Degree Hybrid Stepper Motor
Mounting,Foot Or Flange Or Foot Cum Flange
Power,Hp100
Rated Power,SRI MOTORS
Frequency,40-50Hz
Voltage,NEMA17 4.2 kg-cm Single Shaft 1.8 Degree Detachable Stepper Motor
Model Name/Number,NEMA17 4.2 kg-cm Single Shaft 1.8 Degree Detachable Stepper Motor
Packaging,Carton
Model Name/Number,SIPART PS2
Usage/Application,Sonalika Tractor
Brand,S.S. Marketing
Usage/Application,"H - Frame ( 18"" )"
Mounting,FOOT & FLANGE
Model Name/Number,ABBSP001
Brand,JAPAN AIR MOTOR
Model,JAM 4.5PE 180D
Ambient Temperature,90 DegreeC
Drilling Capacity (Steel),1 inch
Speed,1600 RPM
Brand,LOCAL
Material,Electrographite
Width,All
Power,Upto 25 Hp
Power,MULTIPLE
Model Name/Number,SCHNEIDER ELECTRIC SERVO MOTOR BHM SH3 BCH AC SERVO MOTORS
Speed,1365 RPM
Power,1/8  HP
Gearing Arrangement Type,Hollow and solid shaft gear units
Finish,Powder Coated
Brand,KET
Model Name/Number,KCQ250DA
Usage/Application,PUMP
Usage/Application,For Pipe Collar
Stroke Length,3-29/32
Pressure,Electric
Voltage,3 V - 12 V DC
Power,0.25 - 15 HP
Mounting Type,"FOOT, FLANGE, FACE, FOOT CUM FLANGE"
Usage/Application,Generator & DC Motor
Model Name/Number,LTLK Starters for Agriculture Applications
Voltage,415 V +-10%
Mounting Type,B3 Foot Mounted/ B5 Flange Mounted/ B35 Foot cum Flange Mounted /B14 Face Mounted
Brand,Crown Grip
Motor Type,AC Induction
Usage/Application,speed control of motor
Usage/Application,Heavy Load Lift
Structure,ACME
Device Type,ON/OFF ELECTRICAL ACTUATOR
Model Name/Number,KCQ100A
Brand,Schmersal
Model Name/Number,KCQ100B
Phase,"Three Phase,1/3"
Current,20Amp
Power,90-100W
Power Source,Electricity
Power,0.75 HP
Voltage,320 V
Voltage,220 V-240 V
Ambient Temperature,Suitable for 50 DegreeC
Type,Split AC
Coil Material,Dc metro
Brand,servo
Usage/Application,domestic
Usage/Application,Submersible
Voltage,240 V AC
Rated Load,1200 lb
Brand,Bharat Bijlee Limited
Mounting Type,B3 / B5
Brand,TGPL
Model Name/Number,siemens raja 3TW72911AB77
Current,10- 16 amp
Brand,VNE
Brand,LUYANG
Usage/Application,Slipring Motors
Brand,Acopos
Brand,NEW QBITRONICS
Mounting Type,Copper Class F155*
Number of Poles,Other
Usage/Application,N/A
Speed,1100 Rpm
Voltage,50Hz
Brand,Advance innovations Technology
Type,DC Micro Motor
Model Name/Number,87 Kg-cm Stepper Motor with break.
Ambient Temperature,50 DEG
Power/Voltage,12V
Torque,20 Kg-cm.
Model Name/Number,20 Kg-cm Stepper Motor
Power,12 v & 24 v
Brand,ATLAS
Phase,1 Phase & 3 Phase
Speed,500 RPM to 3000 RPM.
Model Name/Number,"AA, AB, CA, CB, CC, DA, & DB"
Torque,20 Ncm to 150 Ncm
Brand,ANUPAM CROMPTON CGL
Power,HV
Model Name/Number,Tiny
Power Rating,NA
Stroke Length,500MM
Speed,973 RPM
Brand,OMP
Model Name/Number,HHG0009
Model Name/Number,LKS120-05-B5-5-S1
Phase,3ph
Power,19W
Brand,Chamunda
Power,30
Mounting,Flange Mounting
Voltage,600 V
Current,N/A
Power,5.5-540 kW
Brand,Taxmo
Brand,Beacon Gear Transmissions
Speed,0.23 sec/60 Degree
Power,59 W
Motor Part Type,Induction
Type Of Motor,Industrial
Motor Part Type,SEW
Power,Servo Motor HC-MFS43
Speed,HC MFS43
Speed,5 RPM
Usage/Application,Uses in borring
Width,7
Speed,36 rpm
Power,.75 to 45 kW
Brand,Matrix
Step Angle,18Degree
Torque,3.4 Nm - 0.64 Nm
Power,3.5 kW
Usage/Application,Aluminium Servo Motor Covers
Usage/Application,Tata 1510 TC
Model Name/Number,40-180-T-Plus
Torque,46 Kg-cm
Motor Voltage,220-240v
Voltage,0.12 kW - 37 kW
Motor Type,0.5 to 20 HP
Phase,1-3 PHASE
Speed At Rated Load,9 in/min
Current,AC/ DC
Power,1300W
Brand,Takhi
Brand,Speedo Drive
Model,GS-1919
Torque At Max Speed,2.83Nm (25 in-lb)
Brand,WANSHASIN
Power,20-360WATT
Phase,BOTH
Mounting,ANY DIRECTION
Operating Voltage,220
Model Number,Tower pro sg90
Weight,9.0 gram
Brand,Samsung
Model Name/Number,LM-H2P1A-06M-4SS0
Mounting Type,Flat table mount
Brand,kirloskar standard
Speed,kirloskar standard
IP Rating,kirloskar standard
Phase,ROUND
Speed,2900 rpm
Motor Voltage,"208-230V, AC"
Model Name/Number,Double ball bearing DC motor
Motor Type,12 v motar
Voltage,AC 24-240 V
Power,0.25-15 Hp
Brand,Samson
Power,400 Watt
Voltage,"1 PHASE (200 TO 240 V AC), 3 PHASE (380 TO 480 V AC)"
Usage/Application,Pnuematic
Speed,500-1000
Brand,"Milborn,Sentinel,Samrat"
Usage/Application,SCHNEIDER SERVO MOTOR AUTOMATION
Brand,CSI
Motor Voltage,42 W
Model Name/Number,T-410
Current,4A to 10A (Adjustable)
Brand,Helics
Voltage,415 V +- 15%
Input Pressure,1.4~7kgf/Cm2 (20~100psi)
Material,alluminium body
Input Current,Dc 4-20 Ma
Shutter Size,15x 15 feet
Voltage,"230VAC, 24VDC, 24CAV"
Model Name/Number,KCQ1000B
Voltage,"230VAC, 24VDC, 24VAC"
Model Name/Number,KCQ200A
Power,Mitsubishi HF-KE73W1-S100 Servo Motor
Model Name/Number,HF-KE73W1-S100
Speed,HF-KE73W1-S100 Servo Motor
Brand,CGL
Model Name/Number,150-C25NBD
Motor Brand,Air O Cool
Phase,"Single,Three"
Switch Type,Toggle
Ambient Temperature,70
Voltage,201-500 V
Power,180 HP
Ambient Temperature,45 DEG c
Usage/Application,Pump Protection
Usage/Application,"flow promotion in Chute, Bins and hoppers"
Model Name/Number,TMP 50/80/100/125/160/200/315/400
Size/Dimension,6*3
Color,Yellow
Brand,STARSHINE DRIVE
Brand,ITC
Brand,Avon Motor Industry
Speed,Any
Power,Manual
Model Name/Number,66020-10
Voltage,315V
Model Name/Number,PSTX
Power,0.37 kW - 325 kW
Usage/Application,Outdoor
Weight,37 g
Model Name/Number,SMC-3
Current,3-480 A
Device Type,servo
Structure,BALL VALVE & BUTTERFLY VALVE
Voltage,ALL COIL VOLTAGE
Phase,Single - Three Phase
Starter Type,DOL Stater
Model Name/Number,BCH Series
Winding Material,Copper
Switch Operation,Automatic
Brand,Modern General Sales
Brand,ARIHANT
Motor Length,20 mm
Speed,50 TO 500
Power,3 KG
Speed,1440<2880 RPM
Mechanism,Motorized
Model Name/Number,REXROTH A2FM80/61W-VAB020
Current,7A each node
Usage/Application,Cooler Cover
Power (Watts or HP),400 W
Brand,BCH Electric
Voltage,Single phase / Three phase
Speed,1500/3000
Brand,Rayone
IP Rating,IP40
Brand,JossMin
Usage/Application,Floor Scrubber Motor
Usage/Application,"For Dewalt DW-28135 5"" Angle Grinder"
Usage/Application,General Purpose
Vibrations per Minute,"3000, 1500, 1000 RPM"
Mounting Type,Foot and flange both type
Hollow Shaft Diameter,40 mm size
Torque,9.6 NM
Brand,QM
Voltage,180volt
Voltage,<100V
Torque,2.1 Nm
Motor Type,"DC Motor , Induction Motor , AC Motor"
Brand,Eifer
Warranty Period,one year
Orientation,Vertical
Voltage,230VAC pot free contact
Model Name/Number,Size: 4x4xx2.5inches
Application,EV
Voltage,DC 48V
Brand,Voltron Vehicles
Working Pressure,60 PSI
Battery Current,14 AH
Model Name/Number,Walkan-BLDC-Motor
Power,2500
Power Source,AC Powered
Usage/Application,For Electric Motors
Speed,42 RPM
Speed,750-3000
Mounting Type,"as per requirement  foot, flange, face etc."
Speed,750 - 3000
Switch Operation,Manual
Model,QT- Series
Voltage,230 VOLTS
Run Type,Oil Run
Model Name/Number,DIJ1001HVYSPRCIBR
Model Name/Number,STAFFA HMC200
Speed,32000 rpm
Motor Brand,AMETEK
Motor Type,100 % Copper Winding
Ambient Temperature,-20 To 40 Degree Celsius
Size,197mm Length
Model Name/Number,BLDC 125/2D
Structure,Actuvating
Power Rating,20 HP
Output Voltage,24 V DC
Usage/Application,Electronic Instruments
Frequency,100 Hz
Duty,S4 Duty
Power,0.5 HP TO 200 HP
Blade Material,Mild Steel
Stroke Length,upto 160mm
Brand,"RUDRAAKSH , VIRAT , SURAKSHA , GREENLIGHT , SWIFT"
Usage/Application,"Press, Agitator, Cranes, Bulk material conveyors"
Power Rating,3 HP 2.2 KW
Motor Type,Inducion Motor
Brand,TAKAT
Power,850
Mounting,FOOT mounting
Power Source,driven by electric motor
Brand,MEGA CARBON
Usage/Application,"Water & Waste, Mining & Minerals, Metals, Wood Processing"
Speed,"3,000 rpm - 6,000 rpm"
Mounting,"Solid or hollow shaft (keyed,Gripmaxx and Shrink disc) Shaft mount,bolt-on B5 flange,footed"
Mounting,"B3, B5 , B14"
Ambient Temperature,50 Degree
Port Size,1/8
Model Name/Number,BLDC 125/3D
Unit Type,Window
Speed,<6000 RPM
Usage/Application,"AP FAN, EXHAUST FAN AND FARRATA FAN 16INCH"
Brand,Godej
Brand,Chinese
Usage/Application,Used in printing press & packaging machines
Brand,Asian Tools
Length,65 mm
Brand,GOLDEN BULLET
Material,Carbon Graphite
Length,3 Inch
Type Of Motor,OHTC
Brand,Sachdeva
Brand,SNPS
Type Of Motor,AC/DC
Brand,Texcarb
Type Of Motor,Automotive
Brand,Audi
Material,Carbon And Graphite
Model Name/Number,LM series Actuators
Application,"Co,Conveyor Crane"
Torque,0.21 Nm
Torque,0.41 Nm
Brand,AAB / Siemens / Cropmton and other brands.
Motor Type,"DC Motor,Induction Motor,AC Motor"
Phase,1 & 3
Usage/Application,Making diy dron
Usage/Application,Vacuum Cleaner
Speed,960/1400/2800 RPM
Usage/Application,Used In Air Cooler
Speed,2400RPM HIGH SPEED MOTOR
Brand,ZULEX
Model Name/Number,B144
Port Size,3/8
Meter Technology,Differential
Motor Voltage,230-240 Volt
Motor Type,Easy Servo Motor
Torque,12 N.M
Brand,Revolution Technology
Width,10 mm
Body Material,Plastic
Brand,Cair
Usage/Application,Marble Cutter Machine
Usage/Application,Techo generator
Length,60 mm
Material,Carbon / Copper
Usage/Application,Tile And Marble Cutter Power Tools
Length,4 inches
Usage/Application,Starter motors
Material,Carbon Steel
Usage/Application,EOT Crane
Motor Part Type,CURRENTCOLELCTOR CARBON
Type Of Motor,DSL BU BAR CURRENT COLLECTOR
Brand,TECB
Length,10 inch
Length,4inch
Type Of Motor,AC AND DC MOTOR
Power,1000KW
Usage/Application,Techogenerator
Material,Carbon Copper Graphite
Motor Part Type,SLIP RING UNIT AND ASSEMBLY
Model Name/Number,Doncheng & Unitek vacuum Compitable Motor
Brand/Make,ANY MAKE
Mounting Type,Flange/Foot
Speed,3400 RPM
Port Size,1/4
Voltage,110v-600v
Motor Type,Foot Mounted
Brand,Shree Krishna
Power,24V DC 3KW FANCOOLED MOTOR + gear pump
Vehicle Type,Bike
Brand,X TRA POWER
Power,1320W
Brand,SN INDUSTRY
Brand,ANE
Length,3 Inches
Power,800 AMPS
Usage/Application,"Mixer, Grinder"
Type Of Motor,generator
Material,Silver Graphite
Quality,Contract Standard
Speed,3.5 RPM
Current,13 AMPS
Model Name/Number,NK-MTC4KW
Brand,CONCENTRIC (HALDEX)
Model Name/Number,24MA42THSP17P
Current,500A
Material,Carbon /Copper
Usage/Application,Air Conditioners / HVAC systems
Brand,Priya motors
Brand,INDIAN
Torque,0.41 mNm
Model Name/Number,star
Torque,10
Power Source,220 Volt
Model Name/Number,Sy1
Ambient Temperature,95 Degree C
Motor Diameter,7 mm
Usage/Application,ARMETURE
Usage/Application,KILN SLIP RING HOLDER
Type Of Motor,50 TO 350 TPD KILN SLIP RINGS
Length,40 mm
Material Type,"Copper, ABS"
Usage/Application,Part of Gerber Cutting Machine
Usage/Application,DSL BSU BAR SYSTEM CURRENT COLLECTOR 800 AMPS
Material,Carbon And Copper
Brand,Gemco
Length,32
Usage/Application,Automobile
Usage/Application,14 Inch Cut Off Machine
Brand,CGE
Power,Automobile
Material Type,Sliver graphite
Motor Part Type,DC
Brand,Jm Graphite
Voltage,410 V
Starter Type,GSM BASED CONTROL
Speed,>1440 RPM
Brand,Shri Vasudeo Castings Private Limited
Phase,"Single Phase,Three Phase"
Material,Metal Graphite Carbon Brushes
Brand,Star Sintered Products Ltd
Brand,Govardhan Carbon And Electricals
Type Of Motor,Self starter
Power,2200W
Type Of Motor,Starter motors
Current,3.5 Amp
Usage/Application,COOLER MOTOR KIT
Stroke Length,12000mm
Width,5 mm
Thickness,4 mm
Brand,ABLE Orange
Speed,740 RPM
Motor Type,Dc Gear Motor
Material,ALUMINUM / BRASS
Warranty Period,2 Year
Motor Type,Dc cooper wiper Blower Motor
Ratio,3.85 - 487.67
Motor Type,HYBRID MOTOR
Color,NATURAL
Usage/Application,Desert Cooler Motor
Voltage,12V TO 48VDC
Brand,Creative Engineering
Material,Copper Carbon
Material,Water Level Controller
Model Name/Number,MoNo 9638 9638 42
Power Rating,6.7ampere
Power Rating,3ampere
Mounting Type,FLANG
Voltage,230 110
Brand,R S Enter
Material,High Quality imported acrylic board
Brand,TriQuench India
Frame,180 L
Voltage,230/400V- 50HZ
Ambient Temperature,20 to + 40 Deg C
Mounting Options,Bottom Mount
Model,gpa216-e-30-r/GPA3-40-E-30-R
Usage/Application,Sewing Machine
Speed (Rpm),1440 / 2800 & With GB-1 RPM ~500 RPM
Torque,2.2kg/cm
Mounting Type,Square Flange Mount
Motor Type,Resin Pack Brushless DC Motor
Type,Vacuum motor
Speed,"1440,2800 available"
No. of Poles,10
Brand,GES POWER PRODUCTS
Model Name/Number,MRGI
Model Name/Number,P.X.- 2
Speed,3.0 to 300 RPM
Brand,flp
Model Name/Number,MG-90S
Usage/Application,CIRCULAR SAW ARMATURE
Service Location,All Over India
Power,1-500HP
Current,14A
Mounting,"Solid,Hollow,Flange,Push On,Angled (keyed,Gripmaxx,Shrink Disk)"
Model Name/Number,Siemens Servo Motors
Speed,"1440 RPM,2900 RPM,750 RPM,960 RPM"
Stroke Length,50mm -1000mm
Application,Industrial Use
Usage/Application,"Table,Pedestal & Wall Fan Motor Covers"
Power,800 W (Motor Power)
Model Name/Number,42BLDC50
Model Name/Number,PMDC5024PGM
Motor Type,PMDCPGM
No Of Phase,1A current per phase.
Voltage,110 V
Type,Bevel
Power,1 to 7.5 HP
Power Source,24V DC
Power,230VAC external adapter
Brand,Baumer
Brand,Semens
Model,EPMZ
Motor Brand,Scorpio
Items Required,Handle
Condition,Second Hand
Voltage,440 & 240
Type,AC/ ALUMINIUM / COPPER MOTOR
No of Poles,6 Pole
Mounting Type,"as per requirement  foot,flange,face etc."
Brand,JMD Engineering Works
Brand,Advance
Brand,M Raj
Speed,988 rpm
Speed,2990 rpm
Speed,1488 rpm
Speed,993 rpm
Speed,991 rpm
Current,50 mA
Current,&lt;100 mA
Torque,200 KGCM
Motor Type,PMDC50
Current,60 mA
Speed,3850 RPM
Model Name/Number,MY1016Z2
Torque,22 Nm
Current,20A
Model Name/Number,D 75 Series
Power Source,DC Power
Brand,Anjali
Torque,12Ncm to 900Ncm
Current,125 mA
Brand,REXROTH BOSCH
Model Name/Number,"MSK,MAD"
Motor Type,"MSK101E,MSK070C,MSK060C,MSK050C,MAD133"
Power Source,THREE PHASE SUPPLY
Brand,J D Automation
Brand,Pranshu Electricals Pvt.Ltd.
Type,14Ncm to 50Ncm
Power Source,DC Power Source
Current,>300 mA
Motor Diameter,12 mm
Brand,Assun
Torque,0.20 Nm
Brand,Greenland Industries
