Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
2 HP single phase,3,2,5,7,2,2,60.0%,100.0%,2 hp - power | horsepower | hp |||| single phase - phase | supply_phase,2 HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase,horsepower | hp | phase,2 hp | single phase,power | supply phase,horse power | motor horsepower | number of phase | phase type
2 advanced features 2 10 hp mobile starter,1,1,7,15,2,4,14.3%,50.0%,10 hp - power | horsepower | hp |||| starter - application | use |||| starter - product_category | category,Mobile Starter - power_source | power_supply | power_type |||| 2 - number_of_poles | no_of_poles | poles |||| 10 HP - power | wattage | motor_power |||| 2 - number_of_phase | phase | number_of_phase | input_phase |||| Advanced Features - features | feature | product_features,power,10 hp,application | category | horsepower | hp | product category | use,feature | features | input phase | motor power | no of poles | number of phase | number of poles | phase | poles | power source | power supply | power type | product features | wattage
2 hp flange motor,2,1,5,8,2,2,40.0%,50.0%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2 HP - horsepower | horse_power | hp | motor_horsepower |||| Flange - mounting_type | mounting | mounting_style | mounting_method,horsepower | hp,2 hp,motor type | power | product type,horse power | motor horsepower | mounting | mounting method | mounting style | mounting type
2 hp gear motor,2,1,5,4,2,1,40.0%,50.0%,gear motor - motor_type | product_type |||| 2 hp - power | horsepower | hp,2 HP - horsepower | horse_power | hp | motor_horsepower,horsepower | hp,2 hp,motor type | power | product type,horse power | motor horsepower
2 hp three phase induction motor,3,2,7,8,3,2,42.9%,66.7%,induction motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| three phase - phase | supply_phase,2 HP - horsepower | horse_power | hp | motor_horsepower |||| Three Phase - phase | phase_type | number_of_phase | input_phase,horsepower | hp | phase,2 hp | three phase,motor type | power | product type | supply phase,horse power | input phase | motor horsepower | number of phase | phase type
2 hp three phase motor,1,2,7,6,3,2,14.3%,66.7%,motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| three phase - phase | supply_phase,Three Phase - power_source | power_supply | power_type |||| 2 HP - power | wattage | motor_power,power,2 hp | three phase,horsepower | hp | motor type | phase | product type | supply phase,motor power | power source | power supply | power type | wattage
20 HP Three Phase Electric Motor,3,2,7,8,3,2,42.9%,66.7%,motor - motor_type | product_type |||| 20 hp - power | horsepower | hp |||| three phase - phase | supply_phase,20 HP - horsepower | horse_power | hp | motor_horsepower |||| Three Phase - phase | phase_type | number_of_phase | input_phase,horsepower | hp | phase,20 hp | three phase,motor type | power | product type | supply phase,horse power | input phase | motor horsepower | number of phase | phase type
20 hp motor,2,1,5,4,2,1,40.0%,50.0%,motor - motor_type | product_type |||| 20 hp - power | horsepower | hp,20 HP - horsepower | horse_power | hp | motor_horsepower,horsepower | hp,20 hp,motor type | power | product type,horse power | motor horsepower
200HP Abb Induction Motor,5,1,8,8,3,2,62.5%,33.3%,abb - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 200 hp - power | horsepower | hp,200HP - horsepower | horse_power | hp | motor_horsepower |||| ABB - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer,abb,motor type | power | product type,horse power | make | motor horsepower
200KW Flange Induction Motor,2,0,5,8,2,2,40.0%,0.0%,induction motor - motor_type | product_type |||| 200 kw - power | kilowatt | wattage,200KW - power | wattage | motor_power | power_rating |||| Flange - mounting_type | mounting | mounting_style | mounting_method,power | wattage,,kilowatt | motor type | product type,motor power | mounting | mounting method | mounting style | mounting type | power rating
200W AC Servo Brake Motor & Drive LSELM1S-0200DH60E-SS,6,0,9,12,4,3,66.7%,0.0%,brake motor - motor_type | product_type |||| 200 w - power | wattage |||| ac - current_type | supply_type |||| 0200DH60E - model_number | part_number | model,200W - power | wattage | motor_power | power_rating |||| LSELM1S-0200DH60E-SS - model_number | model_name | model | model_no |||| AC Servo Brake Motor & Drive - type | motor_type | product_type | device_type,model | model number | motor type | power | product type | wattage,,current type | part number | supply type,device type | model name | model no | motor power | power rating | type
20W ALUMINUM HOUSING,2,0,4,8,2,2,50.0%,0.0%,20 w - power | wattage |||| housing - product_category | category,20W - power | wattage | motor_power | power_rating |||| ALUMINUM HOUSING - material | body_material | material_type | casing_material,power | wattage,,category | product category,body material | casing material | material | material type | motor power | power rating
20hp Abb Induction Motor,5,1,8,8,3,2,62.5%,33.3%,abb - brand | manufacturer | company |||| induction motor - motor_type | product_type |||| 20 hp - power | horsepower | hp,20HP - horsepower | horse_power | hp | motor_horsepower |||| ABB - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer,abb,motor type | power | product type,horse power | make | motor horsepower
20w fan dc motor,2,1,8,7,4,2,25.0%,25.0%,dc motor - motor_type | product_type |||| 20 w - power | wattage |||| dc - current_type | supply_type |||| fan - application | use,DC - power_source | power_supply | power_type |||| 20W - power | wattage | motor_power | power_rating,power | wattage,dc,application | current type | motor type | product type | supply type | use,motor power | power rating | power source | power supply | power type
220  v 1 dual shaft BLOWER FAN MOTOR,4,1,8,10,4,3,50.0%,25.0%,fan motor - motor_type | product_type |||| 220v - voltage | supply_voltage |||| fan - application | use |||| dual shaft - shaft_type | shaft,220 V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 1 - number_of_poles | no_of_poles | poles |||| Dual Shaft - shaft_type | shaft | inner_shaft,shaft | shaft type | supply voltage | voltage,dual shaft,application | motor type | product type | use,inner shaft | no of poles | number of poles | operating voltage | poles | rated voltage
220 v dual shaft BLOWER FAN MOTOR,4,1,8,11,4,3,50.0%,25.0%,fan motor - motor_type | product_type |||| 220v - voltage | supply_voltage |||| fan - application | use |||| dual shaft - shaft_type | shaft,220 V - voltage | operating_voltage | supply_voltage | rated_voltage |||| Dual Shaft - number_of_poles | no_of_poles | poles |||| BLOWER FAN MOTOR - type | motor_type | product_type | device_type,motor type | product type | supply voltage | voltage,dual shaft,application | shaft | shaft type | use,device type | no of poles | number of poles | operating voltage | poles | rated voltage | type
220hp 960 rpm ELECTRIC MOTOR,5,1,8,12,3,3,62.5%,33.3%,motor - motor_type | product_type |||| 220 hp - power | horsepower | hp |||| 960 rpm - speed | rpm | rated_speed,220HP - horsepower | horse_power | hp | motor_horsepower |||| 960 RPM - speed | rpm | motor_speed | rated_speed |||| ELECTRIC MOTOR - power_source | power_supply | power_type | power_rating,horsepower | hp | rated speed | rpm | speed,960 rpm,motor type | power | product type,horse power | motor horsepower | motor speed | power rating | power source | power supply | power type
2283752193 motor6v 20a,2,1,2,12,1,3,100.0%,100.0%,6v - voltage | supply_voltage,6V - voltage | operating_voltage | supply_voltage | rated_voltage |||| 20A - current | current_rating | rated_current | input_current |||| 2283752193 - model_number | model_name | model | model_no,supply voltage | voltage,6v,,current | current rating | input current | model | model name | model no | model number | operating voltage | rated current | rated voltage
2285625342 statorhv 2030,0,0,0,9,0,3,N/A,N/A,,2285625342 - model_number | model_name | model | model_no |||| StatorHV - model_type | model_name | model | model_no |||| 2030 - size | dimension | frame_size | mounting_type,,,,dimension | frame size | model | model name | model no | model number | model type | mounting type | size
230v apex cool 410w exhaust fan motor,6,1,8,17,5,4,75.0%,20.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| 410 w - power | wattage |||| 230v - voltage | supply_voltage |||| fan - application | use,230V - voltage | operating_voltage | supply_voltage | rated_voltage | power_source |||| Apex Cool - brand | company | manufacturer | make |||| 410W - power | wattage | motor_power | power_rating |||| Exhaust Fan Motor - type | motor_type | product_type | device_type,motor type | power | product type | supply voltage | voltage | wattage,230v,application | use,brand | company | device type | make | manufacturer | motor power | operating voltage | power rating | power source | rated voltage | type
23a paramoon motor starter,0,0,4,8,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,23A - current | current_rating | rated_current | input_current |||| Paramoon - brand | company | manufacturer | make,,,application | motor type | product type | use,brand | company | current | current rating | input current | make | manufacturer | rated current
24  v 10 bldc 50w 24v 3000rpm,0,0,9,0,4,0,0.0%,0.0%,bldc motor - motor_type | product_type |||| 50 w - power | wattage |||| 24v - voltage | supply_voltage |||| 3000 rpm - speed | rpm | rated_speed,,,,motor type | power | product type | rated speed | rpm | speed | supply voltage | voltage | wattage,
24 inch three phase 4 exhaust fan fibre,0,1,4,12,2,4,0.0%,50.0%,three phase - phase | supply_phase |||| fan - application | use,24 inch - size | dimension | frame_size |||| Three Phase - number_of_poles | no_of_poles | poles |||| 4 Exhaust Fan - exhaust_fan_type | fan_type | motor_type |||| Fibre - material | body_material | material_type,,three phase,application | phase | supply phase | use,body material | dimension | exhaust fan type | fan type | frame size | material | material type | motor type | no of poles | number of poles | poles | size
24v dc coffee machine motor,2,0,6,8,3,2,33.3%,0.0%,motor - motor_type | product_type |||| 24v - voltage | supply_voltage |||| dc - current_type | supply_type,24V DC - voltage | operating_voltage | supply_voltage | rated_voltage |||| Coffee Machine - usage_application | application | usage | suitable_for,supply voltage | voltage,,current type | motor type | product type | supply type,application | operating voltage | rated voltage | suitable for | usage | usage application
25 Amp Motor Starter Fresh Material,0,0,4,8,2,2,0.0%,0.0%,motor - motor_type | product_type |||| starter - application | use,25 Amp - current | current_rating | rated_current | input_current |||| Fresh Material - material | body_material | material_type | casing_material,,,application | motor type | product type | use,body material | casing material | current | current rating | input current | material | material type | rated current
270Hp Siemens Motor,5,1,8,7,3,2,62.5%,33.3%,siemens - brand | manufacturer | company |||| motor - motor_type | product_type |||| 270 hp - power | horsepower | hp,270Hp - horsepower | horse_power | hp |||| Siemens - brand | company | manufacturer | make,brand | company | horsepower | hp | manufacturer,siemens,motor type | power | product type,horse power | make
2800  rpm 4 abb electric motor,6,2,8,8,3,2,75.0%,66.7%,abb - brand | manufacturer | company |||| motor - motor_type | product_type |||| 2800 rpm - speed | rpm | rated_speed,2800 RPM - speed | rpm | motor_speed | rated_speed |||| ABB - brand | company | manufacturer | make,brand | company | manufacturer | rated speed | rpm | speed,2800 rpm | abb,motor type | product type,make | motor speed
